location,village,year,class,sex,individual_count,ShW,Sh,village_pop,ShW_2016,Sh_2016,site_area_m2,percent_mud,percent_nonemergent,percent_emergent,area_nonemergent_veg,area_mud,stem_count,veg_mass_mean,veg_mass_total,prevalence_Bulinus,Bulinus_density,infected_Bulinus_density,Bulinus_abundance,infected_Bulinus_abundance
lake,Diokhor,2017,3,F,15,5.785714286,0.428571429,1500,32.26666667,0.933333333,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2017,3,M,17,53.4,0.733333333,1500,46.91176471,0.882352941,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2017,4,F,12,#DIV/0!,#DIV/0!,1500,36.83333333,0.833333333,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2017,4,M,21,#DIV/0!,#DIV/0!,1500,74.30952381,1,3295.446479,51.81890915,25.00969288,23.01915549,247254.313,512299.3251,2.01794222,1292.594974,4259677.556,0.002116646,15.78809916,0.019080627,52028.83577,62.87918401
lake,Diokhor,2018,1,F,17,12.85294118,0.588235294,1500,48.17647059,0.941176471,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,1,M,21,20.19047619,0.857142857,1500,109.1428571,0.80952381,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,2,F,11,11.45454545,0.636363636,1500,33.04545455,0.818181818,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,2,M,8,22,0.625,1500,163.25,1,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,3,F,13,4,0.538461538,1500,36.11538462,0.923076923,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,3,M,15,11.46666667,0.666666667,1500,52.83333333,0.866666667,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,4,F,9,0.555555556,0.444444444,1500,38.27777778,0.777777778,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokhor,2018,4,M,18,9.166666667,0.888888889,1500,85.13888889,1,3436.967405,38.43853473,16.31784025,45.06187939,171114.1524,398668.1344,3.655983836,779.6470971,2754713.129,0.018652187,22.9397501,0.073215931,77982.67326,261.3126201
lake,Diokoul,2017,2,F,16,1.733333333,0.533333333,1300,2.03125,0.625,5235.815099,70.7087538,21.65479462,7.378630316,340141.5019,1110653.882,0.685440811,343.7410117,1799764.379,0,1.337836499,0,7004.664543,0
lake,Diokoul,2017,2,M,12,15.15,0.5,1300,9.958333333,0.583333333,5235.815099,70.7087538,21.65479462,7.378630316,340141.5019,1110653.882,0.685440811,343.7410117,1799764.379,0,1.337836499,0,7004.664543,0
lake,Diokoul,2017,4,F,9,14,0.857142857,1300,1.777777778,0.777777778,5235.815099,70.7087538,21.65479462,7.378630316,340141.5019,1110653.882,0.685440811,343.7410117,1799764.379,0,1.337836499,0,7004.664543,0
lake,Diokoul,2017,4,M,11,6.785714286,1,1300,16.90909091,0.909090909,5235.815099,70.7087538,21.65479462,7.378630316,340141.5019,1110653.882,0.685440811,343.7410117,1799764.379,0,1.337836499,0,7004.664543,0
lake,Diokoul,2018,2,F,12,52.91666667,0.75,1300,2.708333333,0.833333333,5382.108206,51.36630575,31.96322898,19.65601836,516296.7869,831827.7462,1.807659325,301.4764469,1679658.35,0,13.33672767,0,74094.62923,0
lake,Diokoul,2018,2,M,10,63.4,1,1300,11.65,0.6,5382.108206,51.36630575,31.96322898,19.65601836,516296.7869,831827.7462,1.807659325,301.4764469,1679658.35,0,13.33672767,0,74094.62923,0
lake,Diokoul,2018,4,F,7,42.14285714,1,1300,1.642857143,0.714285714,5382.108206,51.36630575,31.96322898,19.65601836,516296.7869,831827.7462,1.807659325,301.4764469,1679658.35,0,13.33672767,0,74094.62923,0
lake,Diokoul,2018,4,M,9,64.55555556,0.888888889,1300,18.44444444,0.888888889,5382.108206,51.36630575,31.96322898,19.65601836,516296.7869,831827.7462,1.807659325,301.4764469,1679658.35,0,13.33672767,0,74094.62923,0
lake,Guidik,2017,1,F,17,64.15625,1,400,66.14705882,0.882352941,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,1,M,15,51.35,1,400,68.63333333,0.733333333,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,2,F,5,113.3,1,400,64.6,0.8,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,2,M,8,13.16666667,0.833333333,400,6.0625,1,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,3,F,5,7.5,0.8,400,9.3,0.8,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,3,M,10,8.6875,0.875,400,75.05,0.9,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,4,F,13,6.333333333,0.75,400,39.61538462,0.846153846,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Guidik,2017,4,M,9,8.571428571,0.714285714,400,49.55555556,0.555555556,2492.116284,51.36327322,19.2297171,29.19620516,143768.0734,384009.7488,3.051853618,569.8709679,1420184.719,0,2.836126726,0,7067.957598,0
lake,Malla,2017,1,F,19,21.47368421,0.894736842,648,193.2894737,1,443.397921,60.66666667,8.333333333,30.66666667,11084.94803,80698.42162,2.224822482,469.5226308,208185.3584,0,0,0,0,0
lake,Malla,2017,1,M,15,17.66666667,0.75,648,81.03333333,0.933333333,443.397921,60.66666667,8.333333333,30.66666667,11084.94803,80698.42162,2.224822482,469.5226308,208185.3584,0,0,0,0,0
lake,Malla,2017,2,F,19,5.882352941,0.588235294,648,99.97368421,1,443.397921,60.66666667,8.333333333,30.66666667,11084.94803,80698.42162,2.224822482,469.5226308,208185.3584,0,0,0,0,0
lake,Malla,2017,2,M,13,9.615384615,0.615384615,648,124.6153846,1,443.397921,60.66666667,8.333333333,30.66666667,11084.94803,80698.42162,2.224822482,469.5226308,208185.3584,0,0,0,0,0
lake,Malla,2017,4,F,4,7.25,0.5,648,23,1,443.397921,60.66666667,8.333333333,30.66666667,11084.94803,80698.42162,2.224822482,469.5226308,208185.3584,0,0,0,0,0
lake,Malla,2017,4,M,11,12.09090909,0.636363636,648,28.13636364,1,443.397921,60.66666667,8.333333333,30.66666667,11084.94803,80698.42162,2.224822482,469.5226308,208185.3584,0,0,0,0,0
lake,MallaTack,2017,1,F,17,100.3529412,0.941176471,833,159.6470588,1,6425.273081,73.86411788,13.37665356,12.49497026,257845.9561,1423791.385,1.346898209,502.6061901,3229382.024,0.020701789,11.89609324,0.09756003,76435.64765,626.8498343
lake,MallaTack,2017,1,M,21,82.65789474,1,833,107.3571429,1,6425.273081,73.86411788,13.37665356,12.49497026,257845.9561,1423791.385,1.346898209,502.6061901,3229382.024,0.020701789,11.89609324,0.09756003,76435.64765,626.8498343
lake,MallaTack,2017,3,F,21,35.30952381,0.904761905,833,30.11904762,0.952380952,6425.273081,73.86411788,13.37665356,12.49497026,257845.9561,1423791.385,1.346898209,502.6061901,3229382.024,0.020701789,11.89609324,0.09756003,76435.64765,626.8498343
lake,MallaTack,2017,3,M,19,26.86842105,0.947368421,833,21.47368421,0.894736842,6425.273081,73.86411788,13.37665356,12.49497026,257845.9561,1423791.385,1.346898209,502.6061901,3229382.024,0.020701789,11.89609324,0.09756003,76435.64765,626.8498343
lake,MallaTack,2017,4,F,13,20.95833333,1,833,15.61538462,0.923076923,6425.273081,73.86411788,13.37665356,12.49497026,257845.9561,1423791.385,1.346898209,502.6061901,3229382.024,0.020701789,11.89609324,0.09756003,76435.64765,626.8498343
lake,MallaTack,2017,4,M,13,26.41666667,1,833,98.07692308,0.923076923,6425.273081,73.86411788,13.37665356,12.49497026,257845.9561,1423791.385,1.346898209,502.6061901,3229382.024,0.020701789,11.89609324,0.09756003,76435.64765,626.8498343
lake,MallaTack,2018,1,F,17,24.79411765,1,833,159.6470588,1,6073.275185,69.08419639,14.27683244,15.76928919,260877.2883,1261181.865,2.173367972,343.3364612,2120326.797,0,6.054538965,0,35610.01813,0
lake,MallaTack,2018,1,M,20,47.725,0.85,833,108.375,1,6073.275185,69.08419639,14.27683244,15.76928919,260877.2883,1261181.865,2.173367972,343.3364612,2120326.797,0,6.054538965,0,35610.01813,0
lake,MallaTack,2018,3,F,21,13.23809524,0.857142857,833,30.11904762,0.952380952,6073.275185,69.08419639,14.27683244,15.76928919,260877.2883,1261181.865,2.173367972,343.3364612,2120326.797,0,6.054538965,0,35610.01813,0
lake,MallaTack,2018,3,M,19,6.657894737,0.842105263,833,21.47368421,0.894736842,6073.275185,69.08419639,14.27683244,15.76928919,260877.2883,1261181.865,2.173367972,343.3364612,2120326.797,0,6.054538965,0,35610.01813,0
lake,MallaTack,2018,4,F,11,3.227272727,0.636363636,833,18.31818182,0.909090909,6073.275185,69.08419639,14.27683244,15.76928919,260877.2883,1261181.865,2.173367972,343.3364612,2120326.797,0,6.054538965,0,35610.01813,0
lake,MallaTack,2018,4,M,12,27.20833333,0.916666667,833,106.0833333,0.916666667,6073.275185,69.08419639,14.27683244,15.76928919,260877.2883,1261181.865,2.173367972,343.3364612,2120326.797,0,6.054538965,0,35610.01813,0
lake,Mbane,2017,1,F,20,47.975,0.85,1852,103.7,0.7,1777.346297,41.67323705,34.71312133,23.37026974,179669.5363,225720.7599,4.775984011,1596.487364,2640016.96,0.142036282,16.91506177,0.530510058,26716.17143,996.0555856
lake,Mbane,2017,1,M,17,55.21875,0.8125,1852,33.47058824,0.705882353,1777.346297,41.67323705,34.71312133,23.37026974,179669.5363,225720.7599,4.775984011,1596.487364,2640016.96,0.142036282,16.91506177,0.530510058,26716.17143,996.0555856
lake,Mbane,2017,2,F,19,53.92105263,0.894736842,1852,82.84210526,0.947368421,1777.346297,41.67323705,34.71312133,23.37026974,179669.5363,225720.7599,4.775984011,1596.487364,2640016.96,0.142036282,16.91506177,0.530510058,26716.17143,996.0555856
lake,Mbane,2017,2,M,23,58.45454545,0.909090909,1852,113.2608696,0.913043478,1777.346297,41.67323705,34.71312133,23.37026974,179669.5363,225720.7599,4.775984011,1596.487364,2640016.96,0.142036282,16.91506177,0.530510058,26716.17143,996.0555856
lake,Mbane,2017,3,F,10,10.33333333,0.555555556,1852,41.45,1,1777.346297,41.67323705,34.71312133,23.37026974,179669.5363,225720.7599,4.775984011,1596.487364,2640016.96,0.142036282,16.91506177,0.530510058,26716.17143,996.0555856
lake,Mbane,2017,3,M,14,42.96428571,0.928571429,1852,152.6785714,0.928571429,1777.346297,41.67323705,34.71312133,23.37026974,179669.5363,225720.7599,4.775984011,1596.487364,2640016.96,0.142036282,16.91506177,0.530510058,26716.17143,996.0555856
lake,MerinaGewel,2017,1,F,17,16.35294118,0.647058824,761,42.79411765,0.823529412,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2017,1,M,17,6.5,0.642857143,761,95.94117647,0.823529412,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
